MY_LINE # 2012 1217 410     .09   60.97    .00     -.2      0.      0.      0.      0.      0.      2.      9.      5.      9.00FFFFFF   11.
MY_LINE # 2012 1217 420     .53  612.33    .00    -1.6      1.      0.      0.      0.      0.     24.     96.     45.     91.00FFFFFF   11.
