MY_LINE # 2012 111423 0 9294.4511006.80    .00   -31.0     27.      0.      0.      0.      0.    407.   1659.    779.   1572.00FFFFFF   11.
MY_LINE # 2012 11142310 9573.6011005.90    .00   -31.0     27.      0.      0.      0.      0.    407.   1659.    779.   1572.00FFFFFF   11.
MY_LINE # 2012 11142320 9821.9911005.26    .00   -31.0     27.      0.      0.      0.      0.    407.   1659.    779.   1572.00FFFFFF   11.
MY_LINE # 2012 1114235010040.4411005.17    .00   -31.0     27.      0.      0.      0.      0.    407.   1659.    779.   1572.00FFFFFF   11.
MY_LINE # 2012 111424 010230.3011007.22    .00   -31.0     27.      0.      0.      0.      0.    407.   1659.    779.   1572.00FFFFFF   11.
MY_LINE # 2012 1114241010393.3011010.69    .00   -31.0     27.      0.      0.      0.      0.    407.   1659.    779.   1572.00FFFFFF   11.
MY_LINE # 2012 1114242010531.4911014.76    .00   -31.0     27.      0.      0.      0.      0.    407.   1659.    778.   1572.00FFFFFF   11.
MY_LINE # 2012 1114243010647.1111018.81    .00   -31.0     27.      0.      0.      0.      0.    407.   1659.    778.   1572.00FFFFFF   11.
MY_LINE # 2012 1114244010742.4811022.44    .00   -31.0     27.      0.      0.      0.      0.    407.   1659.    778.   1572.00FFFFFF   11.
MY_LINE # 2012 1114245010819.9711025.49    .00   -31.0     27.      0.      0.      0.      0.    406.   1659.    778.   1572.00FFFFFF   11.
MY_LINE # 2012 111425 010881.8711027.92    .00   -31.0     27.      0.      0.      0.      0.    406.   1659.    778.   1572.00FFFFFF   11.
MY_LINE # 2012 1114251010930.3911029.74    .00   -30.9     27.      0.      0.      0.      0.    406.   1659.    778.   1572.00FFFFFF   11.
MY_LINE # 2012 1114252010967.5611031.04    .00   -30.9     27.      0.      0.      0.      0.    406.   1659.    778.   1572.00FFFFFF   11.
MY_LINE # 2012 1114253010995.2711031.93    .00   -30.9     27.      0.      0.      0.      0.    406.   1659.    778.   1572.00FFFFFF   11.
MY_LINE # 2012 1114254011015.1911032.54    .00   -30.9     27.      0.      0.      0.      0.    406.   1659.    778.   1572.00FFFFFF   11.
